Time,PWM,ToF
79.00000000,120.00000000,1629.00000000
81.00000000,120.00000000,1629.00000000
91.00000000,120.00000000,1629.00000000
97.00000000,120.00000000,1630.00000000
106.00000000,120.00000000,1631.50000000
117.00000000,120.00000000,1633.33300000
128.00000000,120.00000000,1635.16600000
134.00000000,120.00000000,1636.16600000
139.00000000,120.00000000,1637.00000000
156.00000000,120.00000000,1639.83300000
167.00000000,120.00000000,1641.66600000
178.00000000,120.00000000,1643.50000000
188.00000000,120.00000000,1645.16600000
204.00000000,120.00000000,1627.00000000
214.00000000,120.00000000,1626.71900000
220.00000000,120.00000000,1626.55100000
230.00000000,120.00000000,1626.27000000
240.00000000,120.00000000,1625.99000000
250.00000000,120.00000000,1625.71000000
261.00000000,120.00000000,1625.40100000
272.00000000,120.00000000,1625.93000000
283.00000000,120.00000000,1624.78400000
298.00000000,120.00000000,1615.00000000
308.00000000,120.00000000,1613.72300000
318.00000000,120.00000000,1612.44600000
328.00000000,120.00000000,1611.17000000
338.00000000,120.00000000,1609.89300000
349.00000000,120.00000000,1608.48900000
360.00000000,120.00000000,1607.84000000
371.00000000,120.00000000,1605.68000000
382.00000000,120.00000000,1604.27600000
393.00000000,120.00000000,1592.00000000
408.00000000,120.00000000,1588.36800000
418.00000000,120.00000000,1585.94700000
428.00000000,120.00000000,1583.52600000
438.00000000,120.00000000,1581.10500000
448.00000000,120.00000000,1578.68400000
459.00000000,120.00000000,1576.21000000
470.00000000,120.00000000,1573.35700000
476.00000000,120.00000000,1571.90500000
481.00000000,120.00000000,1570.69400000
498.00000000,120.00000000,1567.00000000
509.00000000,120.00000000,1564.38000000
520.00000000,120.00000000,1561.76100000
530.00000000,120.00000000,1559.38000000
543.00000000,120.00000000,1556.28500000
553.00000000,120.00000000,1553.90400000
564.00000000,120.00000000,1551.28500000
575.00000000,120.00000000,1548.66600000
588.00000000,120.00000000,1545.57100000
598.00000000,120.00000000,1538.00000000
608.00000000,120.00000000,1535.99000000
619.00000000,120.00000000,1531.91000000
630.00000000,120.00000000,1528.72000000
641.00000000,120.00000000,1525.53000000
647.00000000,120.00000000,1523.79000000
655.00000000,120.00000000,1521.47000000
666.00000000,120.00000000,1518.28000000
677.00000000,120.00000000,1515.90000000
688.00000000,120.00000000,1511.90000000
699.00000000,120.00000000,1491.00000000
710.00000000,120.00000000,1485.88100000
725.00000000,120.00000000,1478.90100000
735.00000000,120.00000000,1474.24700000
745.00000000,120.00000000,1469.59400000
755.00000000,120.00000000,1464.94000000
762.00000000,120.00000000,1461.68300000
767.00000000,120.00000000,1459.35600000
782.00000000,120.00000000,1452.37600000
793.00000000,120.00000000,1435.00000000
804.00000000,120.00000000,1428.44600000
815.00000000,120.00000000,1421.89300000
830.00000000,120.00000000,1412.95700000
840.00000000,120.00000000,1407.00000000
850.00000000,120.00000000,1401.42000000
860.00000000,120.00000000,1395.85000000
870.00000000,120.00000000,1389.12700000
881.00000000,120.00000000,1382.57400000
888.00000000,120.00000000,1378.40400000
899.00000000,120.00000000,1380.00000000
910.00000000,120.00000000,1374.29200000
921.00000000,120.00000000,1368.58400000
927.00000000,120.00000000,1365.47100000
934.00000000,120.00000000,1361.83900000
945.00000000,120.00000000,1356.13200000
956.00000000,120.00000000,1350.42400000
967.00000000,120.00000000,1344.71700000
978.00000000,120.00000000,1339.90000000
989.00000000,120.00000000,1333.30200000
1001.00000000,120.00000000,1325.00000000
1011.00000000,120.00000000,1319.60700000
1022.00000000,120.00000000,1313.67600000
1039.00000000,120.00000000,1304.50900000
1050.00000000,120.00000000,1298.57800000
1061.00000000,120.00000000,1292.64600000
1077.00000000,120.00000000,1284.19000000
1088.00000000,120.00000000,1278.88000000
1099.00000000,102.00000000,1259.00000000
1110.00000000,120.00000000,1251.59100000
1121.00000000,120.00000000,1244.18300000
1136.00000000,120.00000000,1234.81000000
1146.00000000,120.00000000,1227.34600000
1156.00000000,120.00000000,1220.61200000
1163.00000000,120.00000000,1215.89700000
1168.00000000,120.00000000,1212.53000000
1183.00000000,120.00000000,1202.42800000
1193.00000000,80.00000000,1183.00000000
1204.00000000,120.00000000,1174.10600000
1211.00000000,120.00000000,1168.44600000
1222.00000000,120.00000000,1159.55300000
1233.00000000,120.00000000,1150.65900000
1244.00000000,120.00000000,1141.76500000
1259.00000000,120.00000000,1129.63800000
1269.00000000,120.00000000,1121.55200000
1279.00000000,120.00000000,1113.46700000
1286.00000000,120.00000000,1107.80800000
1291.00000000,120.00000000,1103.76500000
1305.00000000,120.00000000,1095.00000000
1316.00000000,120.00000000,1086.35700000
1327.00000000,120.00000000,1077.71400000
1338.00000000,120.00000000,1069.71000000
1353.00000000,119.00000000,1057.28500000
1363.00000000,118.00000000,1049.42800000
1373.00000000,117.00000000,1041.57100000
1383.00000000,116.00000000,1033.71400000
1393.00000000,-70.00000000,994.00000000
1404.00000000,90.00000000,981.37500000
1414.00000000,88.00000000,969.89700000
1424.00000000,86.00000000,958.42000000
1435.00000000,84.00000000,945.79500000
1443.00000000,83.00000000,936.61300000
1454.00000000,81.00000000,923.98800000
1465.00000000,79.00000000,911.36300000
1476.00000000,77.00000000,898.73800000
1487.00000000,76.00000000,886.11300000
1493.00000000,74.00000000,879.22700000
1501.00000000,120.00000000,885.00000000
1512.00000000,81.00000000,873.89800000
1523.00000000,79.00000000,862.79600000
1534.00000000,77.00000000,851.69400000
1545.00000000,76.00000000,840.59200000
1556.00000000,74.00000000,829.49000000
1571.00000000,72.00000000,814.35100000
1581.00000000,70.00000000,804.25900000
1591.00000000,70.00000000,794.16600000
1601.00000000,70.00000000,782.00000000
1611.00000000,70.00000000,771.70000000
1622.00000000,70.00000000,760.36900000
1633.00000000,70.00000000,749.39000000
1644.00000000,70.00000000,737.70900000
1655.00000000,70.00000000,726.37900000
1666.00000000,70.00000000,715.49000000
1679.00000000,70.00000000,701.65900000
1684.00000000,70.00000000,696.50900000
1699.00000000,70.00000000,668.00000000
1710.00000000,70.00000000,655.20400000
1721.00000000,70.00000000,642.40800000
1732.00000000,70.00000000,629.61200000
1743.00000000,70.00000000,616.81600000
1749.00000000,70.00000000,609.83600000
1757.00000000,70.00000000,600.53000000
1768.00000000,70.00000000,587.73400000
1779.00000000,70.00000000,574.93800000
1790.00000000,70.00000000,562.14200000
1801.00000000,88.00000000,563.00000000
1807.00000000,70.00000000,556.82300000
1812.00000000,70.00000000,551.67600000
1820.00000000,70.00000000,543.44100000
1831.00000000,70.00000000,532.11700000
1842.00000000,70.00000000,520.79400000
1853.00000000,70.00000000,509.47000000
1864.00000000,70.00000000,498.14700000
1875.00000000,70.00000000,486.82300000
1890.00000000,70.00000000,471.38200000
1900.00000000,-70.00000000,456.00000000
1910.00000000,70.00000000,445.19100000
1920.00000000,70.00000000,434.38300000
1931.00000000,70.00000000,422.49400000
1942.00000000,70.00000000,410.60600000
1953.00000000,70.00000000,398.71700000
1963.00000000,70.00000000,387.90900000
1974.00000000,70.00000000,376.20000000
1987.00000000,70.00000000,361.96900000
1997.00000000,70.00000000,356.00000000
2008.00000000,70.00000000,344.65900000
2019.00000000,-70.00000000,333.31900000
2030.00000000,-70.00000000,321.97900000
2038.00000000,-70.00000000,313.73100000
2046.00000000,-70.00000000,305.48400000
2057.00000000,-70.00000000,294.14400000
2068.00000000,-70.00000000,282.80400000
2079.00000000,-70.00000000,271.46300000
2085.00000000,-70.00000000,265.27800000
2093.00000000,-70.00000000,257.30000000
2104.00000000,70.00000000,256.00000000
2115.00000000,-70.00000000,245.71900000
2124.00000000,-70.00000000,237.30800000
2132.00000000,-70.00000000,229.83100000
2142.00000000,-70.00000000,220.48500000
2153.00000000,-70.00000000,210.20500000
2164.00000000,-70.00000000,199.92500000
2175.00000000,-70.00000000,189.64400000
2181.00000000,-70.00000000,184.37000000
2187.00000000,-70.00000000,178.42900000
2192.00000000,-70.00000000,173.75600000
2207.00000000,70.00000000,174.00000000
2217.00000000,-70.00000000,166.38000000
2227.00000000,-70.00000000,158.77000000
2238.00000000,-70.00000000,149.32000000
2249.00000000,-70.00000000,140.56300000
2260.00000000,-70.00000000,131.80500000
2271.00000000,-70.00000000,123.48000000
2282.00000000,-70.00000000,114.29100000
2297.00000000,70.00000000,117.00000000
2305.00000000,-70.00000000,111.93300000
2316.00000000,-70.00000000,104.96600000
2327.00000000,-70.00000000,98.00000000
2338.00000000,-70.00000000,91.33000000
2349.00000000,-70.00000000,84.66000000
2354.00000000,-70.00000000,80.90000000
2361.00000000,-70.00000000,76.46600000
2372.00000000,-70.00000000,69.50000000
2383.00000000,-70.00000000,62.53300000
2394.00000000,-70.00000000,55.56600000
2405.00000000,120.00000000,96.00000000
2416.00000000,70.00000000,93.86100000
2431.00000000,70.00000000,90.94400000
2441.00000000,70.00000000,89.00000000
2449.00000000,70.00000000,87.44400000
2454.00000000,70.00000000,86.47200000
2465.00000000,70.00000000,84.33300000
2472.00000000,70.00000000,82.97200000
2482.00000000,70.00000000,81.27000000
2493.00000000,70.00000000,78.88800000
2504.00000000,83.00000000,94.00000000
2515.00000000,70.00000000,93.77700000
2526.00000000,70.00000000,93.55500000
2537.00000000,70.00000000,93.33300000
2552.00000000,70.00000000,93.30000000
2562.00000000,70.00000000,92.82800000
2572.00000000,70.00000000,92.62600000
2582.00000000,70.00000000,92.42400000
2589.00000000,70.00000000,92.28200000
2594.00000000,70.00000000,92.18100000
2610.00000000,70.00000000,91.00000000
2616.00000000,70.00000000,90.83000000
2621.00000000,70.00000000,90.68800000
2638.00000000,70.00000000,90.20700000
2649.00000000,70.00000000,89.89600000
2660.00000000,70.00000000,89.58400000
2665.00000000,70.00000000,89.44300000
2672.00000000,70.00000000,89.24500000
2683.00000000,70.00000000,88.93300000
2689.00000000,70.00000000,88.76400000
2694.00000000,70.00000000,88.62200000
2700.00000000,70.00000000,88.00000000
2716.00000000,70.00000000,87.46600000
2727.00000000,70.00000000,87.99000000
2738.00000000,70.00000000,86.73300000
2749.00000000,70.00000000,86.36600000
2754.00000000,70.00000000,86.19900000
2761.00000000,70.00000000,85.96600000
2772.00000000,70.00000000,85.59900000
2783.00000000,70.00000000,85.23300000
2794.00000000,70.00000000,84.86600000
2800.00000000,-95.00000000,72.00000000
2809.00000000,70.00000000,70.55900000
2820.00000000,70.00000000,68.79900000
2830.00000000,70.00000000,67.19900000
2841.00000000,70.00000000,65.43900000
2852.00000000,70.00000000,63.67900000
2863.00000000,70.00000000,61.91900000
2874.00000000,70.00000000,60.15900000
2889.00000000,70.00000000,57.75900000
2899.00000000,70.00000000,56.00000000
2909.00000000,70.00000000,54.38300000
2919.00000000,70.00000000,52.76700000
2929.00000000,70.00000000,51.15100000
2940.00000000,70.00000000,49.37300000
2951.00000000,70.00000000,47.59500000
2962.00000000,70.00000000,45.81800000
2973.00000000,70.00000000,44.40000000
2984.00000000,-70.00000000,42.26200000
2999.00000000,-70.00000000,36.00000000
3009.00000000,-70.00000000,34.00000000
3019.00000000,-70.00000000,32.00000000
3029.00000000,-70.00000000,30.00000000
3039.00000000,-70.00000000,28.00000000
3050.00000000,-70.00000000,25.79900000
3061.00000000,-70.00000000,23.59900000
3072.00000000,-70.00000000,21.39900000
3083.00000000,-70.00000000,19.19900000
3089.00000000,-70.00000000,17.99900000
3095.00000000,70.00000000,22.00000000
3106.00000000,-70.00000000,20.39500000
3116.00000000,-70.00000000,18.93700000
3132.00000000,-70.00000000,16.60400000
3143.00000000,-70.00000000,14.99900000
3154.00000000,-70.00000000,13.39500000
3165.00000000,-70.00000000,11.79100000
3176.00000000,-70.00000000,10.18700000
3187.00000000,-70.00000000,8.58300000
3202.00000000,70.00000000,24.00000000
3212.00000000,70.00000000,24.18600000
3222.00000000,70.00000000,24.37300000
3232.00000000,70.00000000,24.56000000
3242.00000000,70.00000000,24.74700000
3253.00000000,70.00000000,24.95300000
3264.00000000,70.00000000,25.15800000
3275.00000000,70.00000000,25.36400000
3286.00000000,70.00000000,25.57000000
3292.00000000,70.00000000,25.68200000
3300.00000000,70.00000000,33.00000000
3311.00000000,70.00000000,34.10000000
3322.00000000,70.00000000,35.20000000
3333.00000000,70.00000000,36.30000000
3344.00000000,70.00000000,37.40000000
3355.00000000,70.00000000,38.51000000
3370.00000000,70.00000000,39.42800000
3380.00000000,70.00000000,40.34600000
3390.00000000,70.00000000,41.26500000
3397.00000000,-82.00000000,29.00000000
3402.00000000,70.00000000,28.79300000
3413.00000000,70.00000000,28.34000000
3423.00000000,70.00000000,27.92700000
3433.00000000,70.00000000,27.51500000
3443.00000000,70.00000000,27.10300000
3454.00000000,70.00000000,26.64900000
3460.00000000,70.00000000,26.40200000
3469.00000000,70.00000000,26.30000000
3480.00000000,70.00000000,25.57700000
3491.00000000,70.00000000,25.12300000
3502.00000000,-70.00000000,18.00000000
3513.00000000,-70.00000000,16.84700000
3520.00000000,-70.00000000,16.11400000
3531.00000000,-70.00000000,14.96100000
3542.00000000,-70.00000000,13.80900000
3553.00000000,-70.00000000,12.65700000
3564.00000000,-70.00000000,11.50400000
3578.00000000,-70.00000000,10.38000000
3586.00000000,-70.00000000,9.19900000
3591.00000000,-70.00000000,8.67600000
3606.00000000,70.00000000,12.00000000
3614.00000000,70.00000000,11.53800000
3625.00000000,70.00000000,10.90300000
3636.00000000,70.00000000,10.26900000
3647.00000000,70.00000000,9.63400000
3658.00000000,-70.00000000,9.00000000
3669.00000000,-70.00000000,8.36500000
3684.00000000,-70.00000000,7.50000000
3694.00000000,-70.00000000,6.92300000
3704.00000000,70.00000000,14.00000000
3714.00000000,70.00000000,14.20400000
3725.00000000,70.00000000,14.42800000
3736.00000000,70.00000000,14.65300000
3747.00000000,70.00000000,14.87700000
3757.00000000,70.00000000,15.81000000
3768.00000000,70.00000000,15.30600000
3779.00000000,70.00000000,15.53000000
3792.00000000,70.00000000,15.79500000
3802.00000000,70.00000000,16.00000000
3813.00000000,70.00000000,16.22400000
3824.00000000,70.00000000,16.44800000
3835.00000000,70.00000000,16.67300000
3846.00000000,70.00000000,16.89700000
3857.00000000,70.00000000,17.12200000
3872.00000000,70.00000000,17.42800000
3882.00000000,70.00000000,17.63200000
3892.00000000,70.00000000,17.83600000
3902.00000000,-70.00000000,8.00000000
3912.00000000,70.00000000,7.69600000
3924.00000000,70.00000000,7.33300000
3933.00000000,70.00000000,7.60000000
3944.00000000,70.00000000,6.72700000
3955.00000000,70.00000000,6.39300000
3961.00000000,70.00000000,6.21200000
3970.00000000,70.00000000,5.93900000
3981.00000000,70.00000000,5.60600000
3992.00000000,70.00000000,5.27200000
4003.00000000,70.00000000,9.00000000
4014.00000000,70.00000000,9.10800000
4025.00000000,70.00000000,9.21700000
4040.00000000,70.00000000,9.36600000
4050.00000000,70.00000000,9.46500000
4060.00000000,70.00000000,9.56400000
4070.00000000,70.00000000,9.66300000
4078.00000000,70.00000000,9.74200000
4083.00000000,70.00000000,9.79200000
4095.00000000,70.00000000,9.91000000
4100.00000000,-70.00000000,8.00000000
4115.00000000,70.00000000,7.84500000
4125.00000000,70.00000000,7.74200000
4135.00000000,70.00000000,7.63900000
4146.00000000,70.00000000,7.52500000
4157.00000000,70.00000000,7.41200000
4163.00000000,70.00000000,7.35000000
4172.00000000,70.00000000,7.25700000
4183.00000000,70.00000000,7.14400000
4194.00000000,70.00000000,7.30000000
4209.00000000,70.00000000,6.87600000
4219.00000000,70.00000000,6.77300000
4229.00000000,70.00000000,6.67000000
4239.00000000,70.00000000,6.56700000
4249.00000000,70.00000000,6.46300000
4260.00000000,70.00000000,6.35000000
4271.00000000,70.00000000,6.23700000
4284.00000000,70.00000000,6.10300000
4294.00000000,70.00000000,6.00000000
4304.00000000,70.00000000,5.89600000
4315.00000000,70.00000000,5.78300000
4326.00000000,70.00000000,5.67000000
4337.00000000,70.00000000,5.55600000
4343.00000000,70.00000000,5.49400000
4348.00000000,70.00000000,5.44300000
4357.00000000,70.00000000,5.35000000
4368.00000000,70.00000000,5.23700000
4379.00000000,70.00000000,5.12300000
4390.00000000,70.00000000,5.10000000
4401.00000000,70.00000000,4.89600000
4407.00000000,70.00000000,4.83500000
4413.00000000,70.00000000,4.77300000
4424.00000000,70.00000000,4.65900000
4435.00000000,70.00000000,4.54600000
4446.00000000,70.00000000,4.43200000
4457.00000000,70.00000000,4.31900000
4468.00000000,70.00000000,4.20600000
4483.00000000,70.00000000,4.51000000
4488.00000000,70.00000000,4.00000000
4503.00000000,70.00000000,7.00000000
4513.00000000,70.00000000,6.97500000
4523.00000000,70.00000000,6.95000000
4534.00000000,70.00000000,6.92300000
4545.00000000,70.00000000,6.89500000
4556.00000000,70.00000000,6.86800000
4562.00000000,70.00000000,6.85300000
4569.00000000,70.00000000,6.83600000
4580.00000000,70.00000000,6.80800000
4591.00000000,70.00000000,6.78100000
4602.00000000,70.00000000,8.00000000
4613.00000000,70.00000000,8.11100000
4624.00000000,70.00000000,8.22200000
4636.00000000,70.00000000,8.34300000
4646.00000000,70.00000000,8.44400000
4657.00000000,70.00000000,8.55500000
4669.00000000,70.00000000,8.67600000
4680.00000000,70.00000000,8.78700000
4691.00000000,70.00000000,8.89800000
4702.00000000,70.00000000,9.10000000
4713.00000000,70.00000000,9.12100000
4719.00000000,70.00000000,9.18100000
4728.00000000,70.00000000,9.27200000
4739.00000000,70.00000000,9.38300000
4749.00000000,70.00000000,9.48400000
4760.00000000,70.00000000,9.59500000
4771.00000000,70.00000000,9.70700000
4777.00000000,70.00000000,9.76700000
4785.00000000,70.00000000,9.84800000
4796.00000000,-70.00000000,9.00000000
4807.00000000,70.00000000,9.56000000
4816.00000000,70.00000000,9.10300000
4826.00000000,70.00000000,9.15400000
4837.00000000,70.00000000,9.21100000
4848.00000000,70.00000000,9.26800000
4859.00000000,70.00000000,9.32400000
4870.00000000,70.00000000,9.38100000
4885.00000000,70.00000000,9.45800000
4892.00000000,70.00000000,9.49400000
4897.00000000,-70.00000000,8.00000000
4912.00000000,70.00000000,7.85100000
4922.00000000,70.00000000,7.75200000
4932.00000000,70.00000000,7.65300000
4942.00000000,70.00000000,7.55400000
4953.00000000,70.00000000,7.44500000
4964.00000000,70.00000000,7.33600000
4975.00000000,70.00000000,7.22700000
4986.00000000,70.00000000,7.11800000
